x,Rzeczywiste wartości,Wartości z wyrażenia
0.0,-17.0,
1.0,-11.0,-14294469643.658005
2.0,21.0,-42355465.09044419
3.0,109.0,-350966.09092791943
4.0,283.0,-364531.79596365395
5.0,573.0,-850392.1294456307
6.0,1009.0,-973363.2147040368
7.0,1621.0,-942423.584170317
8.0,2439.0,-862855.2184907118
9.0,3493.0,-774502.3468852972
10.0,4813.0,-691150.7666996323
11.0,6429.0,-616752.2410074775
12.0,8371.0,-551640.607787278
13.0,10669.0,-494917.15394644556
14.0,13353.0,-445366.1571890093
15.0,16453.0,-401795.02731907315
16.0,19999.0,-363146.46313698473
17.0,24021.0,-328521.2446490147
18.0,28549.0,-297167.96687899914
19.0,33613.0,-268462.6103970387
20.0,39243.0,-241886.99807976515
21.0,45469.0,-217009.40497582586
22.0,52321.0,-193468.20226043824
23.0,59829.0,-170958.47838901135
24.0,68023.0,-149221.2582412031
25.0,76933.0,-128034.873872598
26.0,86589.0,-107208.07138945472
27.0,97021.0,-86574.50054129993
28.0,108259.0,-65988.29893426479
29.0,120333.0,-45320.54116140267
30.0,133273.0,-24456.371775650216
31.0,147109.0,-3292.6801280631917
32.0,161871.0,18263.794060075743
33.0,177589.0,40298.0114271763
34.0,194293.0,62887.90830570506
35.0,212013.0,86105.45042077557
36.0,230779.0,110017.50741734044
37.0,250621.0,134686.58189055204
38.0,271569.0,160171.4197349063
39.0,293653.0,186527.52325754473
40.0,316903.0,213807.58428076748
41.0,341349.0,242061.85112898302
42.0,367021.0,271338.44075733126
43.0,393949.0,301683.6051805857
44.0,422163.0,333141.9596844282
45.0,451693.0,365756.6789563048
46.0,482569.0,399569.66618978995
47.0,514821.0,434621.69934028236
48.0,548479.0,470952.5579985084
49.0,583573.0,508601.13376848924
50.0,620133.0,547605.5265622229
51.0,658189.0,588003.128833763
52.0,697771.0,629830.6994543017
53.0,738909.0,673124.4286643384
54.0,781633.0,717919.99531867
55.0,825973.0,764252.6174564891
56.0,871959.0,812157.0970756611
57.0,919621.0,861667.8598618649
58.0,968989.0,912818.9905154294
59.0,1020093.0,965644.2642277519
60.0,1072963.0,1020177.1747823666
61.0,1127629.0,1076450.959690584
62.0,1184121.0,1134498.6227162825
63.0,1242469.0,1194352.9540972835
64.0,1302703.0,1256046.54873045
65.0,1364853.0,1319611.8225531704
66.0,1428949.0,1385081.0273242777
67.0,1495021.0,1452486.2639819898
68.0,1563099.0,1521859.4947345029
69.0,1633213.0,1593232.554019876
70.0,1705393.0,1666637.1584554368
71.0,1779669.0,1742104.9158826564
72.0,1856071.0,1819667.3336010498
73.0,1934629.0,1899355.8258738655
74.0,2015373.0,1981201.7207788709
75.0,2098333.0,2065236.2664693196
76.0,2183539.0,2151490.636902952
77.0,2271021.0,2239995.9370905217
78.0,2360809.0,2330783.2079097996
79.0,2452933.0,2423883.4305260545
80.0,2547423.0,2519327.530455715
81.0,2644309.0,2617146.381306064
82.0,2743621.0,2717370.808220442
83.0,2845389.0,2820031.59105543
84.0,2949643.0,2925159.467313819
85.0,3056413.0,3032785.1348548024
86.0,3165729.0,3142939.2544007255
87.0,3277621.0,3255652.451857837
88.0,3392119.0,3370955.3204668136
89.0,3509253.0,3488878.422797341
90.0,3629053.0,3609452.292599673
91.0,3751549.0,3732707.436524891
92.0,3876771.0,3858674.3357245345
93.0,4004749.0,3987383.4473392605
94.0,4135513.0,4118865.205885355
95.0,4269093.0,4253150.02454711
96.0,4405519.0,4390268.296382389
97.0,4544821.0,4530250.395448061
98.0,4687029.0,4673126.677851392
99.0,4832173.0,4818927.4827329805
100.0,4980283.0,4967683.133186355
