x,Rzeczywiste wartości,Wartości z wyrażenia
0.0,0.0,
9.99,4.79397153683106,4.801092132758585
19.98,6.087139205936302,6.253354218768644
29.97,6.8660379879702225,7.140879142161362
39.96,7.425191961462505,7.769831559210061
49.95,7.861689519337467,8.244546332807744
59.94,8.219779547115126,8.61853026723529
69.93,8.52338695042799,8.923081643053154
79.92,8.78692202459909,9.177812140574655
89.91,9.019740012267533,9.395611876595357
99.9,9.228259854719127,9.585281646956233
109.89,9.41707743793025,9.753024332480356
119.88,9.589596635928968,9.903331945011491
129.87,9.74840892813478,10.039534573735596
139.86,9.89553297863453,10.164151820151796
149.85,10.032571931210141,10.27912453440584
159.84,10.160820164058146,10.385971652669504
169.83,10.281337819917933,10.485898831296128
179.82,10.39500412261844,10.57987523526548
189.81,10.502556337084501,10.668688853441278
199.8,10.604618775635148,10.752986988476883
209.79,10.701724754423607,10.83330634016821
219.78,10.794333461180411,10.91009563819394
229.77,10.882843087032976,10.983732829681687
239.76,10.96760117335914,11.054538157026213
249.75,11.04891285368409,11.122783888309002
259.74,11.127047484469266,11.188700619168046
269.73,11.202244028539853,11.252477319930604
279.72,11.274715462549919,11.314234568644277
289.71,11.34465241339595,11.373613470233927
299.7,11.412226179988966,11.434693434240824
309.69,11.477591260986415,11.490662795855812
319.68,11.540887482349502,11.546058475991822
329.67,11.60224179842223,11.600240875861973
339.66,11.661769824864862,11.65322690655792
349.65,11.719577149965838,11.705075231759759
359.64,11.775760461702824,11.755848071990878
369.63,11.830408520772234,11.805604627402715
379.62,11.883603004177763,11.854399727653039
389.61,11.935419239506734,11.902283745330102
399.6,11.985926846463435,11.94930286441616
409.59,12.03519029937047,11.99549944136816
419.58,12.083269422041116,12.040912372749547
429.57,12.13021982455118,12.085577440154973
439.56,12.176093289908453,12.129527623547977
449.55,12.220938117362092,12.172793381885098
459.54,12.264799428058947,12.215402902855264
469.53,12.307719437896187,12.257382324578101
479.52,12.34973770170635,12.298755932310144
489.51,12.39089133231487,12.339546333078124
499.5,12.43121519751055,12.379774610901487
509.49,12.470742097548541,12.419460464974343
519.48,12.509502925450082,12.45862233289086
529.47,12.547526812061749,12.497277500734747
539.46,12.584841257580601,12.535442201618034
549.45,12.621472251032824,12.573131704048075
559.44,12.657444379006062,12.61036039132179
569.43,12.692780924774883,12.647141832990807
579.42,12.727503958820265,12.683488849306778
589.41,12.761634421624397,12.71941356944028
599.4,12.795192199518613,12.754927484166789
609.39,12.82819619427236,12.790041493626896
619.38,12.860664387032944,12.824765950693278
629.37,12.892613897157595,12.859110700412398
639.36,12.924061036419788,12.893085115932951
649.35,12.955021359019499,12.926698131284358
659.34,12.985509707781269,12.959958271326364
669.33,13.015540256883511,12.992873679153941
679.32,13.045126551427057,13.025452141209422
689.31,13.074281544119334,13.057701110325736
699.3,13.103017629322943,13.089627726899819
709.29,13.13134667469261,13.121238838373712
719.28,13.159280050602609,13.152541017181743
729.27,13.186828657547343,13.183540577305417
739.26,13.21400295168027,13.214243589562821
749.25,13.240812968640952,13.244655895746309
759.24,13.26726834580612,13.27478312171053
769.23,13.29337834308816,13.30463068950273
779.22,13.319151862393408,13.334203828618003
789.21,13.344597465842522,13.363507586454089
799.2,13.36972339284627,13.392546838033152
809.19,13.394537576121941,13.421326295051387
819.18,13.419047656728289,13.449850514311679
829.17,13.443260998190295,13.47812390558925
839.16,13.467184699779098,13.506150738975723
849.15,13.49082560900699,13.53393515174282
859.14,13.51419033339252,13.561481154763218
869.13,13.53728525154628,13.588792638522694
879.12,13.560116523623881,13.615873378754792
889.11,13.582690101189016,13.642727041726356
899.1,13.605011736526079,13.669357189199976
909.09,13.62708699143881,13.695767283097087
919.08,13.648921245568651,13.721960689883502
929.07,13.670519704263901,13.74794068469732
939.06,13.6918874060285,13.773710455237481
949.05,13.713029229577081,13.799273105429842
959.04,13.733949900521035,13.82463165888615
969.03,13.754653997708449,13.849789062170165
979.02,13.775145959239278,13.874748187884034
989.01,13.795430088175443,13.899511837586932
999.0,13.815510557964274,13.924082744557172
