X1,y,Rzeczywiste wartości,Wartości z wyrażenia
-10.0,-10.0,331.0,331.00929810178997
-10.0,-8.0,285.0,285.00926071541903
-10.0,-6.0,239.0,239.00924521558616
-10.0,-4.0,193.0,193.00925363275795
-10.0,-2.0,147.0,147.0092971559839
-10.0,0.0,101.0,
-10.0,2.0,55.0,55.009425882961025
-10.0,4.0,9.0,9.0095440570712
-10.0,6.0,-37.0,-36.99030522616425
-10.0,8.0,-83.0,-82.9901191198114
-10.0,10.0,-129.0,-128.98989466849704
-9.8,-10.0,321.04,321.0492980834044
-9.8,-8.0,276.24,276.24926069419814
-9.8,-6.0,231.44,231.44924518870957
-9.8,-4.0,186.64,186.6492535884658
-9.8,-2.0,141.84,141.84929675258684
-9.8,0.0,97.04,
-9.8,2.0,52.24,52.24942587927575
-9.8,4.0,7.44,7.449544051046374
-9.8,6.0,-37.36,-37.35030523398905
-9.8,8.0,-82.16,-82.15011912899006
-9.8,10.0,-126.96,-126.9498946787617
-9.6,-10.0,311.16,311.1692980643035
-9.6,-8.0,267.56,267.569260672168
-9.6,-6.0,223.96,223.96924516084664
-9.6,-4.0,180.36,180.3692535427133
-9.6,-2.0,136.76,136.76929634912233
-9.6,0.0,93.16,
-9.6,2.0,49.56,49.56942587541573
-9.6,4.0,5.96,5.969544044749139
-9.6,6.0,-37.64,-37.63030524215956
-9.6,8.0,-81.24,-81.23011913856882
-9.6,10.0,-124.84,-124.82989468946991
-9.4,-10.0,301.36,301.3692980444453
-9.4,-8.0,258.96,258.96926064928175
-9.4,-6.0,216.56,216.5692451319423
-9.4,-4.0,174.16,174.169253495427
-9.4,-2.0,131.76,131.76929594559053
-9.4,0.0,89.36,
-9.4,2.0,46.96,46.969425871368244
-9.4,4.0,4.56,4.569544038160618
-9.4,6.0,-37.84,-37.83030525069928
-9.4,8.0,-80.24,-80.23011914857445
-9.4,10.0,-122.64,-122.62989470065094
-9.2,-10.0,291.64,291.64929802378344
-9.2,-8.0,250.44,250.4492606254881
-9.2,-6.0,209.24,209.24924510193694
-9.2,-4.0,168.04,168.04925344652847
-9.2,-2.0,126.84,126.84929554199124
-9.2,0.0,85.64,
-9.2,2.0,44.44,44.44942586711925
-9.2,4.0,3.24,3.2495440312600863
-9.2,6.0,-37.96,-37.95030525963378
-9.2,8.0,-79.16,-79.15011915903611
-9.2,10.0,-120.36,-120.34989471233689
-9.0,-10.0,282.0,282.00929800226834
-9.0,-8.0,242.0,242.00926060073235
-9.0,-6.0,202.0,202.00924507076644
-9.0,-4.0,162.0,162.0092533959339
-9.0,-2.0,122.0,122.00929513832459
-9.0,0.0,82.0,
-9.0,2.0,42.0,42.009425862653416
-9.0,4.0,2.0,2.0095440240248905
-9.0,6.0,-38.0,-37.99030526899104
-9.0,8.0,-78.0,-77.99011916998573
-9.0,10.0,-118.0,-117.98989472456267
-8.8,-10.0,272.44,272.44929797984594
-8.8,-8.0,233.64,233.64926057495467
-8.8,-6.0,194.84,194.84924503836172
-8.8,-4.0,156.04,156.0492533435534
-8.8,-2.0,117.24,117.24929473459049
-8.8,0.0,78.44,
-8.8,2.0,39.64,39.64942585795363
-8.8,4.0,0.84,0.8495440164300518
-8.8,6.0,-37.96,-37.95030527880186
-8.8,8.0,-76.76,-76.75011918145825
-8.8,10.0,-115.56,-115.54989473736664
